Streams,Artist Followers,Tempo,Duration (ms)
48633449,3377762,134.002,211560
47248719,2230022,169.928,141806
40162559,6266514,166.928,178147
37799456,83293380,126.026,231041
33948454,5473565,149.995,212000
30071134,5473565,178.818,137876
29356736,8640063,110.968,208867
26951613,6080597,127.949,199604
25030128,36142273,179.951,206710
24551591,3377762,132.507,173347
23518010,27142474,102.977,203064
22405111,29051363,101.968,217773
22062812,37106176,124.925,187585
20294457,48504126,90.03,198082
19985713,37106176,109.997,164442
19480679,6266514,100.607,229227
18571755,6266514,180.917,215507
18053141,35305637,118.091,191014
17617965,2123734,172.031,261335
16908917,8640063,130.041,210560
16606925,151486,153.979,273474
16126897,8640063,124.097,174253
15684978,6266514,143.875,242013
15089184,1890510,80.87,238805
15011809,35305637,171.005,200040
14849078,6266514,168.924,175933
14809458,10502148,130.001,287120
14329162,33651775,129.915,184213
14273637,83689,122.98,169153
14174752,365975,149.996,132780
13963568,32574754,148.088,242096
13205250,22683756,110.108,164842
12818935,6266514,172.929,152667
12572307,16216789,80.015,195053
11996689,16112621,95.39,174000
11869336,,,
11683383,4840346,81.039,165926
11629418,8640063,128.986,186173
11553846,8758283,93.02,208631
11524288,36142273,109.928,205090
11477024,2936204,92.003,165275
11287301,6266514,163.929,173160
11283626,29051363,93.005,393280
11196819,37106176,114.044,199054
10739770,5785065,120.031,164000
10315460,3120157,124.111,183726
10222056,1274433,91.007,140533
10215216,375865,170.064,192353
10032746,6929075,97.99,349547
9841998,389076,102.931,122773
9799701,3126961,89.907,158087
9781153,45362,110.427,321556
9635619,47014200,85.016,195777
9600707,32178,128.012,345543
9428494,31541310,119.976,154983
9319465,495226,179.626,147062
9206366,409173,151.92,157176
9086979,6080597,83.876,212032
9048966,32262679,99.048,227395
9017356,12169108,117.003,169011
8977336,4787261,130.02,184635
8935418,291777,125.993,150053
8881356,6266514,123.999,143747
8843110,35305637,118.091,191014
8832945,1398563,89.087,198371
8821971,1250353,123.95,183290
8564775,116817,119.997,160880
8564017,6662605,124.053,240400
8514480,26769304,177.998,201181
8490162,8384096,109.891,182161
8269753,26131,139.928,153406
8133401,408696,80.511,123987
8102107,17775316,88.863,209160
8093413,2895789,128.05,231604
8006336,27116,123.028,241970
7975148,3377762,102.999,194787
7912399,1999954,83.97,160191
7735223,2043294,106.891,197333
7717211,31488,98.005,261667
7687058,2819593,98.027,209438
7642130,2230022,93.005,161385
7637626,56308172,136.006,192956
7516291,1042079,115.044,58149
7465445,1250353,115.982,258004
7452633,17719446,124.917,162803
7434252,207547,122.953,166028
7383369,207547,123.989,178088
7381585,18228,105.039,182857
7365053,203972,124.995,206629
7353795,287361,71.884,183624
7336542,151486,87.961,193636
7244853,67158068,144.015,172325
7156162,33651775,120.042,215280
7084292,1329531,144.955,144264
7064003,6341942,97.018,200785
6984262,1250353,126.986,131067
6858466,8640063,107.998,172627
6853994,1521837,90.021,168030
6825463,1427540,140.013,251733
6813800,8384096,111.881,215107
6799831,27142474,102.977,203064
6711375,3363988,180.104,203385
6709106,16074,180.003,280274
6699895,35285425,124.949,204347
6697067,411579,140.04,195429
6660319,32574754,145.837,217867
6653690,742692,121.955,176867
6635076,8758283,90.025,216510
6614072,10356559,111.898,158532
6584896,56699,167.933,151429
6569547,47014200,115.284,200186
6546948,1250353,89.911,158040
6539852,73211,109.075,171743
6502302,8640063,90.035,226987
6488622,21942793,124.01,189672
6469500,5420471,86.959,193221
6452492,83293380,95.977,233713
6317487,33879560,116.947,190960
6300416,1250353,139.98,170813
6278765,83293380,95.05,263400
6244011,282045,139.966,231708
6242863,36142273,81.993,203201
6180056,7593046,89.977,181733
6164795,3794081,102.078,198040
6152121,1647262,124.148,169266
6136340,20270895,125.983,176658
6089242,2421254,101.654,204280
6065267,13261089,116.761,301920
6040918,6266514,88.485,202827
6014443,6662605,85.012,260173
6012839,409173,150.006,147072
5952490,6430522,77.005,236883
5928329,32262679,91.05,189486
5914661,1838616,122.764,244360
5912784,64288,113.12,158594
5907750,4781906,128.945,241693
5848466,261225,106.52,226268
5847975,12969190,135.005,192725
5845156,17353707,166,156945
5769714,26769304,179.984,200482
5768653,14187747,92.047,198765
5756583,35888760,143.883,354320
5734402,6150675,168.021,232853
5693848,441674,124.114,167903
5691540,17719446,124.917,162803
5690260,432581,121.955,139563
5682062,10561047,122.959,176575
5672480,18572085,95.799,215733
5668576,159647,157.905,180380
5652272,15889,149.95,173038
5647568,12169108,122.017,257840
5628703,31151294,173.372,266773
5627257,205590,94.984,173053
5618268,409173,147.962,239928
5607285,20270895,124.08,247427
5594505,77034,154.027,225672
5576844,1250353,107.994,235556
5570735,6837946,83.995,160000
5566150,1687399,115.01,248827
5493760,7593046,119.987,159083
5478055,7593046,139.949,112547
5477563,19085118,83.903,239836
5467753,3553442,104.949,205458
5453159,,,
5436286,1250353,135.128,194088
5434073,11477164,159.702,141050
5431375,6837946,125.971,190476
5420003,6266514,168.884,163587
5386268,17353707,133.073,187541
5382191,6118063,148.017,222587
5379704,4339245,117.401,253920
5378971,6930669,120.151,257800
5375426,8441598,85.043,211467
5366242,1304510,110.095,209476
5315734,6837946,145.043,203586
5245618,6837946,99.865,184800
5238547,924083,144.026,173333
5235335,8148393,80.953,163733
5204983,35888760,109.975,214653
5178490,56308172,103.967,173987
5166847,16112621,99.048,207133
5145493,180723,124.026,161613
5145432,304995,80.018,161853
5104206,6080597,102.101,164706
5103014,5799137,119.93,269560
5098609,4840346,93.924,132833
5092354,6837946,142.094,216387
5090062,1254432,94.018,155884
5068864,35305637,113.003,242253
5065132,5881963,121.002,279204
5063181,8148393,103.948,176800
5016125,36142273,132.037,209771
5002227,67158068,140.048,178627
4992405,167628,93.421,161684
4978559,130627,83.406,140308
4977498,151832,122.031,166794
4973937,1909059,77.249,186121
